[GLUe]_0	Values[V_OXPHOS].InitialValue	(OXPHOS).Flux
0.5	31.535	7.16008
0.5	31.57	7.16047
0.5	31.605	7.16086
0.5	31.64	7.16125
0.5	31.675	7.16163
0.5	31.71	7.16202
0.5	31.745	7.1624
0.5	31.78	7.16279
0.5	31.815	7.16317
0.5	31.85	7.16355
0.5	31.885	7.16393
0.5	31.92	7.16431
0.5	31.955	7.16468
0.5	31.99	7.16506
0.5	32.025	7.16543
0.5	32.06	7.16581
0.5	32.095	7.16618
0.5	32.13	7.16655
0.5	32.165	7.16692
0.5	32.2	7.16728
0.5	32.235	7.16765
0.5	32.27	7.16802
0.5	32.305	7.16838
0.5	32.34	7.16874
0.5	32.375	7.16911
0.5	32.41	7.16947
0.5	32.445	7.16982
0.5	32.48	7.17018
0.5	32.515	7.17054
0.5	32.55	7.1709
0.5	32.585	7.17125
0.5	32.62	7.1716
0.5	32.655	7.17196
0.5	32.69	7.17231
0.5	32.725	7.17266
0.5	32.76	7.17301
0.5	32.795	7.17335
0.5	32.83	7.1737
0.5	32.865	7.17405
0.5	32.9	7.17439
0.5	32.935	7.17473
0.5	32.97	7.17508
0.5	33.005	7.17542
0.5	33.04	7.17576
0.5	33.075	7.1761
0.5	33.11	7.17643
0.5	33.145	7.17677
0.5	33.18	7.17711
0.5	33.215	7.17744
0.5	33.25	7.17777
0.5	33.285	7.17811
0.5	33.32	7.17844
0.5	33.355	7.17877
0.5	33.39	7.1791
0.5	33.425	7.17942
0.5	33.46	7.17975
0.5	33.495	7.18008
0.5	33.53	7.1804
0.5	33.565	7.18073
0.5	33.6	7.18105
0.5	33.635	7.18137
0.5	33.67	7.18169
0.5	33.705	7.18201
0.5	33.74	7.18233
0.5	33.775	7.18265
0.5	33.81	7.18297
0.5	33.845	7.18328
0.5	33.88	7.1836
0.5	33.915	7.18391
0.5	33.95	7.18422
0.5	33.985	7.18454
0.5	34.02	7.18485
0.5	34.055	7.18516
0.5	34.09	7.18547
0.5	34.125	7.18578
0.5	34.16	7.18608
0.5	34.195	7.18639
0.5	34.23	7.18669
0.5	34.265	7.187
0.5	34.3	7.1873
0.5	34.335	7.1876
0.5	34.37	7.18791
0.5	34.405	7.18821
